"species","TotalReads"
"Anopheles bellator",2
"Anopheles maculipalpis",1
"Ochlerotatus camptorhynchus",1
"Sitodiplosis mosellana",1
"Spodoptera frugiperda",2
"Trichoplusia ni",1
"Helicoverpa assulta",1
"Ostrinia nubilalis",2
"Galleria mellonella",1
"Pieris rapae",1
"Harmonia axyridis",2
"Sitophilus oryzae",1
"Timema monikensis",3
"Timema poppense",5
"Timema bartmani",3
"Timema genevievae",1
"Timema cristinae",1
"Timema californicum",2
"Episactus tristani",1
"Michalowskiya breviprocessa",1
"Homalodisca vitripennis",1
"Daktulosphaira vitifoliae",1
"Planococcus citri",1
"Cimex lectularius",1
"Cloeon dipterum",1
"Folsomia candida",1
"Cherax quadricarinatus",3
"Palaemon carinicauda",2
"Penaeus vannamei",1
"Eurytemora carolleeae",1
"Notodromas monacha",2
"Darwinula stevensoni",2
"Cyprideis torosa",1
"Daphnia magna",1
"Medioppia subpectinata",4
"Oppiella nova",2
"Ornithodoros turicata",1
"Argiope bruennichi",1
"Caenorhabditis briggsae",1
"Strongyloides papillosus",1
"Gordionus sp. m RMFG-2023",1
"Aplysia californica",3
"Biomphalaria glabrata",2
"Haliotis rubra",1
"Solecurtus divaricatus",1
"Mercenaria mercenaria",1
"Magallana gigas",1
"Spirometra erinaceieuropaei",2
"Dicrocoelium dendriticum",2
"Hydractinia symbiolongicarpus",1
"Acropora digitifera",1
"Pyrus x bretschneideri",1
"Malus domestica",1
"Prunus dulcis",1
"Rosa agrestis",2
"Rosa rugosa",1
"Ziziphus jujuba",2
"Cannabis sativa",1
"Populus trichocarpa",1
"Hevea brasiliensis",1
"Malpighia emarginata",1
"Cicer arietinum",1
"Vicia villosa",1
"Lupinus angustifolius",1
"Tripterygium wilfordii",2
"Carya illinoinensis",2
"Cucumis melo",2
"Camelina sativa",2
"Arabidopsis lyrata",1
"Raphanus sativus",1
"Brassica rapa",1
"Theobroma cacao",1
"Hibiscus syriacus",1
"Vitis vinifera",1
"Solanum stenotomum",1
"Ipomoea nil",1
"Olea europaea",2
"Matricaria chamomilla",1
"Triticum dicoccoides",1
"Triticum monococcum",1
"Hordeum vulgare",1
"Brachypodium distachyon",1
"Lolium rigidum",1
"Oryza sativa",2
"Digitaria exilis",3
"Sorghum bicolor",1
"Eragrostis tef",3
"Ananas comosus",1
"Musa acuminata",1
"Zingiber officinale",1
"Papaver somniferum",2
"Nymphaea colorata",1
"Picea abies",1
"Chloromonas rosae",1
"uncultured eukaryote",9
"Plasmodium reichenowi",1
"Plasmodium chabaudi",1
"Toxoplasma gondii",1
"Sterkiella histriomuscorum",1
"Ichthyophthirius multifiliis",1
"Thalassiosira pseudonana",1
"Cryptoglena soropigra",1
"Trypanosoma brucei",1
"Naegleria gruberi",1
"Tritrichomonas foetus",1
"Halobacterium noricense",1
"Halovivax limisalsi",1
"Methanomethylovorans hollandica",1
"Methanospirillum stamsii",1
"Thermoplasmata archaeon",1
"Thermoplasmatales archaeon",1
"uncultured marine thaumarchaeote SAT1000_24_E05",1
"Cloning vector YRTAG300",66
"Cloning vector pKL13",14
"Saccharomyces cerevisiae synthetic construct",9
"synthetic construct",31
"Caudoviricetes sp.",5
"Sinorhizobium phage phi2LM21",1
"Pseudomonas phage PAN70",9
"Macdonaldcampvirus SB28",2
"Escherichia phage HMD-P3",1
"Moonvirus kayemsixteen",1
"Orthoavulavirus javaense",1
"Alphainfluenzavirus influenzae",1
"Qianjiang dicistro-like virus 52",1
"Pithovirus LCPAC406",1
"Prokaryotic dsDNA virus sp.",1
"uncultured marine virus",1
"uncultured prokaryote",2
"uncultured organism",8
"Bacillus spizizenii",36338
"Bacillus subtilis",8384
"Bacillus vallismortis",157
"Bacillus velezensis",124
"Bacillus amyloliquefaciens",15
"Bacillus inaquosorum",137
"Bacillus halotolerans",51
"Bacillus mojavensis",16
"Bacillus stercoris",140
"Bacillus tequilensis",60
"Bacillus atrophaeus",27
"Bacillus licheniformis",42
"Bacillus paralicheniformis",4
"Bacillus sp. wens01",9
"Bacillus sp. MBGLi79",10
"Bacillus sp. JS",6
"Bacillus sp. MD-5",6
"Bacillus sp. FSL R5-0560",4
"Bacillus sp. PAMC26543",8
"Bacillus sp. ms-22",2
"Bacillus sp. SB49",2
"Bacillus sp. Y1",1
"Bacillus sp. FSL M8-0025",7
"Bacillus sp. LJBS17",9
"Bacillus sp. DHVB1",2
"Bacillus sp. FJAT-14266",92
"Bacillus sp. FSL R5-0523",2
"Bacillus sp. T3",1
"Bacillus sp. FSL K6-0993",4
"Bacillus rugosus",59
"Bacillus cabrialesii",33
"Bacillus cereus",9
"Bacillus manliponensis",1
"Bacillus mycoides",1
"Bacillus pumilus",4
"Bacillus altitudinis",2
"Bacillus aquiflavi",2
"Bacillus safensis",5
"Bacillus swezeyi",1
"Bacillus gobiensis",1
"Priestia megaterium",2
"Heyndrickxia vini",2
"Pontibacillus sp. HMF3514",1
"Pontibacillus sp. ALD_SL1",1
"Lysinibacillus sp. FSL W7-1291",1
"Peribacillus frigoritolerans",1
"Cytobacillus firmus",1
"Virgibacillus halodenitrificans",1
"Sutcliffiella horikoshii",1
"Rossellomorea sp. FM04394",1
"Alkalihalobacillus sp. LMS39",1
"Halobacillus sp. SY10",1
"Anaerobacillus sp. HL2",1
"Staphylococcus aureus",27588
"Staphylococcus sp. IVB6181",2
"Staphylococcus sp. FSL W8-0305",45
"Staphylococcus sp. SB1-57",6
"Staphylococcus argenteus",28
"Staphylococcus schweitzeri",20
"Staphylococcus saprophyticus",15
"Staphylococcus epidermidis",12
"Staphylococcus pseudintermedius",8
"Staphylococcus capitis",10
"Staphylococcus saccharolyticus",7
"Staphylococcus simiae",6
"Staphylococcus chromogenes",5
"Staphylococcus haemolyticus",5
"Staphylococcus pasteuri",4
"Staphylococcus edaphicus",3
"Staphylococcus equorum",5
"Staphylococcus casei",2
"Staphylococcus kloosii",2
"Staphylococcus lutrae",2
"Staphylococcus devriesei",2
"Staphylococcus agnetis",2
"Staphylococcus warneri",2
"Staphylococcus felis",1
"Staphylococcus caprae",1
"Staphylococcus auricularis",1
"Staphylococcus arlettae",1
"Staphylococcus hominis",1
"Staphylococcus coagulans",1
"Staphylococcus lloydii",1
"Staphylococcus massiliensis",1
"Staphylococcus rostri",1
"Staphylococcus ratti",1
"Staphylococcus shinii",1
"Staphylococcus pettenkoferi",1
"Staphylococcus carnosus",1
"Mammaliicoccus sciuri",1
"Listeria monocytogenes",25488
"Listeria sp. LM90SB2",341
"Listeria sp. PSOL-1",1
"Listeria innocua",180
"Listeria swaminathanii",68
"Listeria welshimeri",48
"Listeria seeligeri",25
"Listeria ivanovii",22
"Listeria weihenstephanensis",5
"Listeria newyorkensis",3
"Brochothrix campestris",1
"Paenibacillus sp. FSL W8-0194",8
"Paenibacillus sp. HWE-109",1
"Paenibacillus sp. H1-7",1
"Paenibacillus sp. FSL R10-2782",2
"Paenibacillus thiaminolyticus",1
"Paenibacillus yonginensis",1
"Aneurinibacillus soli",1
"Sporosarcina sp. FSL K6-3508",1
"Sporosarcina ureae",1
"Planococcus rifietoensis",1
"Rummeliibacillus pycnus",1
"Anoxybacillus gonensis",1
"Thermoactinomyces vulgaris",1
"Enterococcus faecalis",37986
"Enterococcus sp. 9D6_DIV0238",5
"Enterococcus sp. DIV0212c",5
"Enterococcus sp. DIV2402",3
"Enterococcus sp. 7F3_DIV0205",2
"Enterococcus sp. DA9",33
"Enterococcus sp. 12C11_DIV0727",1
"Enterococcus sp. DIV1094",1
"Enterococcus sp. DIV0849a",1
"Enterococcus sp. PLM3",16
"Enterococcus durans",9
"Enterococcus faecium",13
"Enterococcus devriesei",4
"Enterococcus thailandicus",4
"Enterococcus dispar",3
"Enterococcus rotai",3
"Enterococcus saccharolyticus",2
"Enterococcus mundtii",2
"Enterococcus raffinosus",2
"Enterococcus saigonensis",2
"Enterococcus silesiacus",2
"Enterococcus casseliflavus",2
"Enterococcus wangshanyuanii",1
"Enterococcus hirae",1
"Enterococcus avium",1
"Enterococcus cecorum",1
"Enterococcus montenegrensis",1
"Vagococcus jeotgali",2
"Vagococcus fluvialis",1
"Vagococcus coleopterorum",1
"Vagococcus carniphilus",1
"Limosilactobacillus fermentum",17305
"Limosilactobacillus reuteri",2
"Limosilactobacillus pontis",2
"Limosilactobacillus gastricus",2
"Limosilactobacillus panis",1
"Lactiplantibacillus plantarum",6
"Weissella paramesenteroides",6
"Lactobacillus delbrueckii",3
"Lactobacillus sp. CBA3605",1
"Lacticaseibacillus paracasei",2
"Lacticaseibacillus zeae",1
"Paucilactobacillus nenjiangensis",2
"Companilactobacillus crustorum",1
"Companilactobacillus farciminis",1
"Fructilactobacillus ixorae",1
"Fructilactobacillus sanfranciscensis",1
"Pediococcus ethanolidurans",1
"Ligilactobacillus murinus",1
"Streptococcus canis",1
"Streptococcus thermophilus",1
"Carnobacterium viridans",1
"Carnobacterium maltaromaticum",1
"Carnobacteriaceae bacterium zg-84",1
"Abiotrophia defectiva",1
"Ruthenibacterium lactatiformans",1
"Oscillospiraceae bacterium",1
"Clostridium perfringens",1
"Heliomicrobium modesticaldum",1
"Desulfitobacterium hafniense",1
"Lacrimispora xylanisolvens",2
"Herbinix luporum",1
"Romboutsia hominis",1
"Paraclostridium sordellii",1
"Moorella humiferrea",1
"Thomasclavelia ramosa",1
"Gottschalkia acidurici",1
"Streptomyces sp. NBC_01176",1
"Streptomyces sp. NBC_00872",1
"Streptomyces sp. NBC_01390",1
"Streptomyces sp. NBC_00670",1
"Streptomyces sp. NBC_00631",1
"Streptomyces sp. AgN23",4
"Streptomyces sp. NBC_00304",1
"Streptomyces sp. NBC_00704",1
"Streptomyces griseus",1
"Streptomyces avidinii",1
"Streptomyces changanensis",1
"Streptomyces coeruleorubidus",1
"Streptomyces albus",1
"Mycolicibacterium farcinogenes",1
"Mycolicibacterium parafortuitum",1
"Mycobacterium sp. Z3061",1
"Mycobacterium sp. ITM-2016-00317",1
"Corynebacterium jeddahense",1
"Corynebacterium ureicelerivorans",1
"Corynebacterium phocae",1
"Nocardia sp. NBC_00511",1
"Kocuria rhizophila",1
"Arthrobacter sp. Rue61a",1
"Microbacterium sp. zg-B96",2
"Isoptericola dokdonensis",1
"Janibacter sp. DB-40",1
"Serinicoccus marinus",1
"Cutibacterium granulosum",1
"Cutibacterium acnes",1
"Arachnia propionica",1
"Propionibacterium australiense",1
"Nocardioides pantholopis",1
"Nonomuraea phyllanthi",1
"Nonomuraea glycinis",1
"[Actinomadura] parvosata",1
"Nocardiopsis akebiae",1
"Saccharopolyspora pogona",1
"Amycolatopsis sp. FU40",1
"Kutzneria buriramensis",1
"uncultured Actinomycetes bacterium",1
"Candidatus Protofrankia datiscae",1
"uncultured Solirubrobacteraceae bacterium",2
"Euzebya pacifica",1
"Aquihabitans sp. G128",1
"'Picea pungens' phytoplasma",10
"Spiroplasma phoeniceum",2
"Spiroplasma endosymbiont of Aspidapion aeneum",1
"Mycoplasmopsis gallinacea",1
"Synechococcus sp. BIOS-U3-1",1
"Prochlorococcus sp. MIT 1300",1
"uncultured Chroococcidiopsis sp.",1
"Nostoc sp. C117",1
"Gloeomargarita lithophora",1
"uncultured cyanobacterium",1
"Dehalococcoidia bacterium",2
"Tepidiformaceae bacterium",1
"Vulcanimicrobiota bacterium",1
"Salmonella enterica",46968
"Salmonella sp. WGH-01",53
"Salmonella sp. SA14318",11
"Salmonella sp. SSDFZ54",47
"Salmonella sp.",12
"Salmonella bongori",41
"Escherichia coli",28871
"Escherichia albertii",60
"Escherichia sp. E4742",25
"Escherichia sp. HH091_1A",8
"Escherichia fergusonii",41
"Escherichia marmotae",23
"Shigella dysenteriae",191
"Shigella flexneri",652
"Shigella boydii",210
"Shigella sonnei",45
"Klebsiella pneumoniae",130
"Klebsiella quasipneumoniae",7
"Klebsiella variicola",5
"Klebsiella aerogenes",8
"Klebsiella huaxiensis",3
"Klebsiella sp. PL-2018",2
"Klebsiella oxytoca",2
"Klebsiella africana",1
"Klebsiella electrica",1
"Raoultella ornithinolytica",9
"Citrobacter freundii",39
"Citrobacter braakii",14
"Citrobacter portucalensis",7
"Citrobacter cronae",11
"Citrobacter freundii complex sp. CFNIH2",1
"Citrobacter youngae",2
"Citrobacter sp. RHB25-C09",5
"Citrobacter sp. R56",3
"Citrobacter sp. TSA-1",3
"Citrobacter sp. BDA59-3",1
"Citrobacter koseri",8
"Citrobacter farmeri",5
"Citrobacter meridianamericanus",2
"Citrobacter tructae",2
"Citrobacter rodentium",2
"Citrobacter telavivensis",1
"Citrobacter arsenatis",1
"Enterobacter hormaechei",17
"Enterobacter cloacae",6
"Enterobacter sichuanensis",2
"Enterobacter kobei",4
"Enterobacter asburiae",3
"Enterobacter cloacae complex sp.",1
"Enterobacter roggenkampii",1
"Enterobacter cancerogenus",1
"Enterobacter sp. ECC-175",2
"Enterobacter sp. 638",1
"Enterobacter sp. RHBSTW-00175",3
"Enterobacter sp. R4-368",1
"Enterobacter soli",2
"Enterobacter mori",2
"Enterobacter bugandensis",1
"Kosakonia sp. H02",5
"Kosakonia sp. ML.JS2a",2
"Kosakonia sp. CCTCC M2018092",2
"Kosakonia sp. SMBL-WEM22",1
"Kosakonia sacchari",1
"Kosakonia oryzendophytica",1
"Kosakonia arachidis",1
"Kosakonia oryzae",1
"Kosakonia radicincitans",1
"Pseudocitrobacter faecalis",9
"Kluyvera ascorbata",2
"Kluyvera cryocrescens",2
"Kluyvera genomosp. 3",2
"Kluyvera sichuanensis",1
"Kluyvera intermedia",1
"Cronobacter sp. JZ38",3
"Cronobacter malonaticus",3
"Cronobacter turicensis",1
"Cronobacter sakazakii",1
"Superficieibacter sp. HKU1",7
"Lelliottia amnigena",4
"Lelliottia sp. JS-SCA-14",1
"Cedecea neteri",5
"Cedecea lapagei",1
"Enterobacteriaceae bacterium strain FGI 57",1
"Plautia stali symbiont",1
"Enterobacteriaceae bacterium ENNIH1",1
"Leclercia adecarboxylata",2
"Leclercia pneumoniae",1
"Trabulsiella odontotermitis",3
"Franconibacter daqui",3
"Buttiauxella sp. WJP83",1
"Buttiauxella agrestis",1
"secondary endosymbiont of Bactericera cockerelli",1
"Symbiopectobacterium purcellii",1
"Pseudescherichia vulneris",2
"Yokenella regensburgei",2
"Siccibacter colletis",2
"Scandinavium goeteborgense",2
"Pluralibacter gergoviae",1
"Apirhabdus apintestini",1
"Atlantibacter hermannii",1
"Plesiomonas shigelloides",1
"Jejubacter calystegiae",1
"Candidatus Profftia tarda",1
"Serratia sp. JSRIV001",1
"Serratia sp. FDAARGOS_506",1
"Serratia sp. JUb9",1
"Serratia marcescens",4
"Serratia ureilytica",2
"Serratia symbiotica",1
"Serratia surfactantfaciens",1
"Serratia liquefaciens",1
"Yersinia alsatica",1
"Yersinia frederiksenii",2
"Yersinia aldovae",1
"Yersinia kristensenii",1
"Rahnella victoriana",2
"Rahnella bonaserana",2
"Ewingella americana",1
"Rouxiella chamberiensis",1
"Erwinia sp. E_sp_W01_1",4
"Erwinia sp. E_sp_W01_6",1
"Erwinia sp. HDF1-3R",1
"Erwinia amylovora",1
"Erwinia billingiae",1
"[Pantoea] beijingensis",1
"Erwinia sorbitola",1
"Erwinia tracheiphila",1
"Pantoea sp. C3",2
"Pantoea sp. Nvir",2
"Pantoea alhagi",2
"Pantoea ananatis",1
"Pantoea vagans",1
"Paramixta manurensis",2
"Proteus mirabilis",4
"Providencia heimbachae",3
"Xenorhabdus sp. TH1",1
"Xenorhabdus poinarii",1
"Xenorhabdus nematophila",1
"Photorhabdus asymbiotica",1
"Photorhabdus akhurstii",1
"Morganella morganii",1
"Brenneria izadpanahii",1
"Brenneria nigrifluens",1
"Dickeya chrysanthemi",2
"Pectobacterium sp. F1-1",1
"Musicola paradisiaca",1
"Edwardsiella piscicida",3
"Edwardsiella tarda",2
"Edwardsiella hoshinae",1
"Sodalis endosymbiont of Henestaris halophilus",1
"Sodalis ligni",1
"Candidatus Sodalis pierantonius",2
"Pseudomonas aeruginosa",18054
"Pseudomonas paraeruginosa",10
"Pseudomonas multiresinivorans",1
"Pseudomonas sp. RtIB026",2
"Pseudomonas sp. PSE14",4
"Pseudomonas sp. NA13",2
"Pseudomonas sp. nanlin1",1
"Pseudomonas sp. DR48",1
"Pseudomonas sp. P8_241",1
"Pseudomonas sp. R5-89-07",1
"Pseudomonas sp. MTM4",1
"Pseudomonas sp. SCT",1
"Pseudomonas sp. G166",2
"Pseudomonas sp. B21-051",1
"Pseudomonas sp. Lz4W",1
"Pseudomonas sp. LPB0260",1
"Pseudomonas sp. gcc21",1
"Pseudomonas sp. Q1-7",1
"Pseudomonas sp. FP1742",1
"Pseudomonas sp. URMO17WK12:I11",1
"Pseudomonas sp. M30-35",1
"Pseudomonas sp. ATCC 13867",1
"Pseudomonas sp. B21-035",4
"Pseudomonas sp. TCU-HL1",1
"Pseudomonas sp. p1(2021b)",1
"Pseudomonas sp. SO81",1
"Pseudomonas sp. B21128",2
"Pseudomonas sp. ABC1",1
"Pseudomonas sp. MAG733B",1
"Pseudomonas putida",9
"Pseudomonas fulva",5
"Pseudomonas mosselii",1
"Pseudomonas plecoglossicida",1
"Pseudomonas oryzihabitans",1
"Pseudomonas poae",2
"Pseudomonas corrugata",1
"Pseudomonas trivialis",1
"Pseudomonas chlororaphis",1
"Pseudomonas protegens",2
"Pseudomonas fuscovaginae",3
"Pseudomonas asgharzadehiana",2
"Pseudomonas alkylphenolica",2
"Pseudomonas wayambapalatensis",1
"Pseudomonas paeninsulae",1
"Pseudomonas knackmussii",1
"Pseudomonas kurunegalensis",3
"Pseudomonas gozinkensis",1
"Pseudomonas abietaniphila",1
"Pseudomonas benzenivorans",1
"Pseudomonas paralcaligenes",1
"Pseudomonas yamanorum",1
"Pseudomonas taetrolens",1
"Pseudomonas entomophila",1
"Pseudomonas solani",1
"Pseudomonas phytophila",1
"Pseudomonas izuensis",1
"Pseudomonas vanderleydeniana",1
"Pseudomonas palleroniana",1
"Pseudomonas alvandae",1
"Pseudomonas prosekii",1
"Pseudomonas huanghezhanensis",1
"Pseudomonas berkeleyensis",1
"Pseudomonas tructae",1
"Stutzerimonas stutzeri",2
"Metapseudomonas lalkuanensis",1
"Pseudomonadales bacterium",1
"Marinobacter sp. JH2",1
"Shewanella sp. BSs20016",7
"Shewanella pealeana",1
"Parashewanella spongiae",1
"Colwellia sp. 20A7",2
"Alteromonas sp. RKMC-009",2
"Idiomarinaceae bacterium HL-53",1
"gamma proteobacterium intracellular symbiont of Calyptogena fossajaponica",13
"Stenotrophomonas maltophilia",2
"Stenotrophomonas sp. 59",1
"Stenotrophomonas oahuensis",1
"Xanthomonas sacchari",1
"Xanthomonas hortorum",1
"Lysobacter enzymogenes",1
"Dyella sp. GSA-30",1
"Dyella telluris",1
"Acinetobacter baumannii",5
"Acinetobacter schindleri",2
"Acinetobacter corruptisaponis",1
"Microbulbifer sp. A4B17",2
"Microbulbifer sp. SAOS-129_SWC",1
"Microbulbifer spongiae",1
"Microbulbifer hydrolyticus",1
"Teredinibacter sp. KSP-S5-2",2
"Halieaceae bacterium",1
"Vibrio sp. SCSIO 43140",1
"Vibrio mimicus",1
"Vibrio cortegadensis",1
"Vibrio metschnikovii",1
"Aliivibrio salmonicida",1
"Haemophilus haemolyticus",1
"Histophilus somni",1
"Aggregatibacter actinomycetemcomitans",1
"Pasteurellaceae bacterium RH1A",1
"Ectothiorhodosinus mongolicus",1
"Halorhodospira halochloris",1
"Rheinheimera sp. F8",1
"Aeromonas dhakensis",2
"Marinomonas arctica",1
"Oceanospirillales bacterium",1
"uncultured Gammaproteobacteria bacterium",1
"Thiomicrospira sp. S5",1
"Candidatus Celerinatantimonas neptuna",1
"Rhizobium sp. NXC14",1
"Rhizobium sp. BT03",1
"Rhizobium lusitanum",1
"Sinorhizobium sp. RAC02",1
"Sinorhizobium mexicanum",1
"Shinella sumterensis",1
"Bradyrhizobium sp. CIAT3101",3
"Mesorhizobium sp. J8",1
"Jiella pelagia",1
"Hyphomicrobium sp. ghe19",1
"uncultured Alphaproteobacteria bacterium",4
"Phaeobacter piscinae",1
"Leisingera aquaemixtae",1
"Paracoccaceae bacterium",1
"Azospirillum sp. B510",1
"Thalassospira sp. B30-1",1
"Candidatus Endolissoclinum faulkneri",1
"Komagataeibacter xylinus",1
"Candidatus Kirkpatrickella diaphorinae",1
"Sphingomonas parapaucimobilis",1
"Sphingomicrobium flavum",1
"Hyphobacterium sp.",1
"Hyphomonas sp. CACIAM 19H1",1
"Candidatus Sneabacter namystus",1
"Janthinobacterium sp. B9-8",1
"Janthinobacterium sp. J1-1",1
"Herbaspirillum sp. DW155",1
"Noviherbaspirillum sp. UKPF54",1
"Pseudoduganella lutea",1
"Collimonas arenae",1
"Oxalobacter formigenes",1
"Acidovorax sp. YS12",1
"Acidovorax sp. SDU_ACID1",1
"Oryzisolibacter sp. LB2S",2
"Paraburkholderia sp. PGU19",1
"Paraburkholderia dioscoreae",1
"Paraburkholderia kirstenboschensis",1
"Ralstonia solanacearum",1
"Bordetella avium",1
"Kingella potus",2
"Alysiella filiformis",1
"Chromobacterium violaceum",1
"Aquitalea magnusonii",1
"Denitratisoma sp. DHT3",1
"Sideroxydans sp. CL21",1
"Ferribacterium limneticum",1
"Nonlabens ulvanivorans",2
"Polaribacter sp. SA4-12",1
"Chryseobacterium balustinum",2
"Apibacter sp. B2966",1
"Schleiferiaceae bacterium",1
"Fibrella aestuarina",1
"Runella sp. SP2",1
"Dyadobacter sp. 676",1
"Porifericola rhodea",1
"Algoriphagus sp. Y33",1
"Spirosoma aerolatum",1
"Segatella copri",1
"Prevotella herbatica",1
"uncultured Porphyromonadaceae bacterium",1
"Bacteroides faecium",1
"Mucilaginibacter robiniae",3
"Candidatus Zixiibacteriota bacterium",1
"Phycisphaeraceae bacterium",1
"Phycisphaerales bacterium",1
"Planctomycetota bacterium",1
"uncultured Verrucomicrobiae bacterium",1
"Verrucomicrobiia bacterium",1
"Chlamydia avium",1
"Campylobacter coli",2
"Helicobacter pylori",1
"Granulicella tundricola",1
"Terriglobia bacterium",1
"uncultured Holophaga sp.",1
"Myxococcus xanthus",2
"Minicystis rosea",1
"Syntrophotalea carbinolica",1
"Desulfolithobacter dissulfuricans",1
"Sphaerochaeta associata",1
"Nitrospirota bacterium",1
"uncultured bacterium",41
"uncultured bacterium contig00154",1
"uncultured Methylomirabilota bacterium",1
"Patescibacteria group bacterium UBA2103",1
"Candidatus Poribacteria bacterium",1
"Deinococcus radiophilus",1
"Thermosipho ferrireducens",1
"unidentified bacterial endosymbiont",1
"Saccharomyces cerevisiae",9058
"Saccharomyces paradoxus",55
"Saccharomyces kudriavzevii",10
"Saccharomyces mikatae",8
"Saccharomyces bayanus",4
"Saccharomyces eubayanus",2
"Saccharomyces uvarum",1
"Saccharomyces jurei",1
"Saccharomyces pastorianus",2
"Nakaseomyces glabratus",1
"Maudiozyma barnettii",1
"Vanderwaltozyma polyspora",1
"Naumovozyma dairenensis",1
"Wickerhamomyces anomalus",3
"Candida theae",1
"Candida dubliniensis",1
"Candida jiufengensis",1
"Candida parapsilosis",1
"Candidozyma auris",1
"Pichia membranifaciens",3
"Brettanomyces nanus",1
"Starmerella magnoliae",1
"Lipomyces doorenjongii",1
"Aspergillus nomiae",1
"Aspergillus alliaceus",1
"Aspergillus caelatus",1
"Penicillium chrysogenum",1
"Penicillium alfredii",1
"Penicillium malachiteum",1
"Trichophyton rubrum",1
"Exophiala mesophila",1
"Fonsecaea multimorphosa",1
"Rhinocladiella mackenziei",1
"Aureobasidium sp.",7
"Trematosphaeria pertusa",1
"Fusarium solani",1
"Trichoderma citrinoviride",1
"Colletotrichum acutatum",1
"Diaporthe amygdali",1
"Phialemonium atrogriseum",1
"Neurospora tetraspora",1
"Cadophora gregata",1
"Letharia lupina",1
"Xylona heveae",1
"Slafractonia leguminicola",1
"Morchella sextelata",1
"Cryptococcus neoformans",7808
"Cryptococcus neoformans AD hybrid",35
"Cryptococcus deuterogattii",8
"Cryptococcus gattii",8
"Cryptococcus decagattii",2
"Cryptococcus bacillisporus",5
"Cryptococcus tetragattii",1
"Cryptococcus sp. (in: basidiomycete fungi)",22
"Cryptococcus amylolentus",1
"Kwoniella europaea",1
"Kwoniella shivajii",1
"Kwoniella bestiolae",1
"uncultured Agaricales",1
"Laccaria amethystina",1
"Pleurotus ostreatus",1
"Suillus bovinus",1
"Atheliachaete sanguinea",3
"Sparassis crispa",1
"uncultured Agaricomycetes",2
"Geastrum saccatum",1
"Malassezia sp.",2
"Malassezia equina",2
"Macruropyxis fulva",1
"Rhodotorula toruloides",1
"uncultured fungus",7
"uncultured Acaulospora",3
"Rhizomucor miehei",1
"Zychaea mexicana",1
"Spizellomyces punctatus",1
"Encephalitozoon intestinalis",1
"Mus musculus",8
"Chionomys nivalis",2
"Onychomys torridus",1
"Sciurus carolinensis",3
"Chinchilla lanigera",2
"Oryctolagus cuniculus",4
"Homo sapiens",13
"Pan troglodytes",2
"Macaca mulatta",2
"Microcebus murinus",1
"Lipotes vexillifer",1
"Orcinus orca",1
"Bubalus bubalis",1
"Odocoileus virginianus",1
"Sus scrofa",1
"Vicugna pacos",1
"Canis lupus",5
"Mustela putorius",1
"Equus caballus",4
"Pteropus alecto",1
"Hipposideros armiger",1
"Talpa occidentalis",1
"Loxodonta africana",1
"Orycteropus afer",1
"Echinops telfairi",1
"Trichosurus vulpecula",1
"Vombatus ursinus",1
"Monodelphis domestica",1
"Anomalospiza imberbis",1
"Motacilla alba",1
"Parus monticolus",2
"Haliaeetus albicilla",1
"Columba livia",1
"Meleagris gallopavo",4
"Gallus gallus",1
"Anser cygnoides",2
"Apteryx mantelli",6
"Terrapene triunguis",2
"Chrysemys picta",1
"Anolis sagrei",1
"Python bivittatus",1
"Hemicordylus capensis",1
"Euleptes europaea",1
"Cornufer vitiensis",1
"Dendropsophus ebraccatus",1
"Xenopus laevis",1
"Pleurodeles waltl",2
"Microcaecilia unicolor",1
"Geotrypetes seraphini",1
"Latimeria chalumnae",2
"Poeciliopsis prolifica",1
"Girardinichthys multiradiatus",1
"Austrofundulus limnaeus",2
"Oryzias latipes",2
"Oreochromis niloticus",2
"Simochromis diagramma",1
"Haplochromis burtoni",1
"Salarias fasciatus",2
"Mugil cephalus",1
"Acanthochromis polyacanthus",1
"Gasterosteus aculeatus",2
"Pungitius pungitius",1
"Cebidichthys violaceus",1
"Takifugu flavidus",1
"Chelmon rostratus",1
"Sparus aurata",1
"Larimichthys crocea",1
"Solea senegalensis",2
"Limanda limanda",1
"Melanogrammus aeglefinus",2
"Gadus macrocephalus",1
"Cyprinus carpio",2
"Carassius auratus",1
"Puntigrus tetrazona",1
"Labeo rohita",1
"Danio rerio",2
"Danio aesculapii",1
"Pseudorasbora parva",1
"Misgurnus anguillicaudatus",1
"Triplophysa rosa",1
"Myxocyprinus asiaticus",1
"Silurus meridionalis",2
"Hoplias malabaricus",1
"Clupea harengus",1
"Scleropages formosus",1
"Scyliorhinus canicula",1
"Lampetra planeri",3
"Branchiostoma belcheri",1
"Strongylocentrotus purpuratus",1
"Acanthaster planci",1
"Helicoverpa assulta",5
"Trichoplusia ni",1
"Achroia grisella",3
"Appias lasti",1
"Pararge aegeria",1
"Anopheles darlingi",1
"Anopheles stephensi",1
"Sabethes cyaneus",1
"Topomyia yanbarensis",1
"Toxorhynchites rutilus",1
"Sitodiplosis mosellana",1
"Ceratitis capitata",1
"Eurosta solidaginis",1
"Drosophila willistoni",1
"Teleopsis dalmanni",1
"Cardiocondyla obscurior",1
"Solenopsis invicta",1
"Trachymyrmex zeteki",1
"Pseudomyrmex gracilis",1
"Odontomachus brunneus",1
"Megalopta genalis",1
"Phymastichus coffea",1
"Diachasma alloeum",1
